City,Longitude,Latitude,Tempurature (F),Humidity,Windspeed (MPH),Cloudiness
puerto ayora,-90.35,-0.74,73.26,61,17.22,20
butembo,29.28,0.15,58.69,99,2.17,8
pochutla,-96.47,15.74,89.6,55,5.93,40
barth,12.72,54.36,69.48,82,4.7,20
padang,100.35,-0.95,77.0,94,3.36,40
butaritari,172.79,3.07,83.1,75,14.79,20
kodiak,-152.41,57.79,55.4,76,8.05,90
aloleng,119.78,16.13,82.29,79,7.74,93
busselton,115.33,-33.65,61.99,75,13.53,82
yerbogachen,108.01,61.28,52.25,92,4.36,21
nanortalik,-45.24,60.14,46.0,83,3.85,55
kungurtug,97.52,50.6,51.37,73,2.04,33
hilo,-155.09,19.73,74.71,78,8.05,90
borba,-59.59,-4.39,95.45,31,4.29,38
tuatapere,167.68,-46.13,39.0,83,3.0,0
chuy,-53.46,-33.7,53.94,73,7.81,28
salalah,54.09,17.02,80.6,88,4.7,90
banda aceh,95.32,5.56,79.14,82,8.25,100
san patricio,-104.7,19.22,89.6,75,6.93,40
aklavik,-135.01,68.22,59.0,77,5.82,20
airai,125.41,-8.93,53.87,100,3.94,87
tiksi,128.87,71.69,37.09,94,12.93,100
lagos,3.75,6.58,80.6,78,8.05,40
kyshtovka,76.63,56.55,55.78,85,5.59,51
braunau,16.33,50.59,68.76,72,1.99,99
cap malheureux,57.61,-19.98,70.0,73,8.99,98
jamestown,-79.24,42.1,81.77,57,9.17,75
saint-pierre,55.48,-21.34,62.02,72,2.24,57
taoudenni,-3.98,22.68,112.24,9,15.86,28
avarua,-159.78,-21.21,69.8,88,4.7,100
tilichiki,166.1,60.47,53.58,74,6.13,0
barrow,-156.79,71.29,42.8,87,14.99,90
ahipara,173.17,-35.17,47.03,82,4.68,18
yarada,83.27,17.65,86.0,79,3.36,40
kapaa,-159.32,22.08,77.32,78,20.8,75
yurla,54.32,59.33,57.72,87,1.99,89
coahuayana,-103.68,18.73,78.8,78,2.17,75
mataram,116.12,-8.58,73.4,88,4.7,40
saint-augustin,-58.65,51.23,68.29,71,8.61,59
cabo san lucas,-109.91,22.89,87.87,62,5.82,5
provideniya,-173.3,64.38,56.07,66,8.61,100
yellowknife,-114.35,62.46,69.04,49,4.7,20
valentin gomez farias,-106.58,28.22,81.14,40,13.98,2
luanda,13.23,-8.84,75.2,78,8.05,20
esperance,121.9,-33.87,48.2,93,12.75,31
souillac,57.52,-20.52,69.8,73,18.34,75
carnarvon,113.63,-24.87,57.2,100,6.93,0
isangel,169.27,-19.55,72.39,84,14.14,28
iquique,-70.14,-20.22,62.6,59,6.93,40
coihaique,-72.07,-45.58,37.4,51,6.93,40
berdigestyakh,126.7,62.1,57.38,73,2.39,18
geraldton,114.6,-28.77,51.8,87,11.41,0
ponta do sol,-17.1,32.67,70.7,66,1.34,0
guerrero negro,-114.06,27.98,77.32,55,13.96,0
inhambane,35.38,-23.86,68.0,72,5.82,20
redmond,-122.12,47.67,71.13,59,6.22,0
manicore,-61.3,-5.81,95.7,31,4.61,13
castro,-50.01,-24.79,69.62,58,3.02,100
pangnirtung,-65.71,66.15,48.2,87,6.93,90
lagoa,-27.98,39.05,72.95,91,13.49,4
stornoway,-6.39,58.21,55.65,76,26.4,75
filadelfia,-75.16,39.95,91.35,59,9.17,75
talaya,152.75,61.38,53.22,68,5.28,14
bambous virieux,57.76,-20.34,69.89,73,18.34,75
aykhal,111.5,66.0,37.72,85,12.68,99
port lincoln,135.87,-34.73,53.02,85,8.08,25
peleduy,112.74,59.63,56.62,71,6.13,89
kappeln,9.93,54.66,65.84,72,21.92,36
agadez,10.25,19.75,95.61,10,7.83,32
vilyuysk,121.62,63.76,50.34,93,1.66,1
alice,-98.07,27.75,87.55,70,23.04,40
port augusta,137.77,-32.5,42.1,93,5.82,40
povenets,34.83,62.85,60.94,87,2.35,29
sitio novo do tocantins,-47.46,-5.52,96.46,24,7.09,0
east london,27.91,-33.02,60.78,71,17.81,51
leua,18.61,48.22,73.92,76,1.01,97
lompoc,-120.46,34.64,63.59,77,5.82,9
nelson bay,152.15,-32.72,57.65,87,27.51,90
rawson,-65.1,-43.3,44.44,76,10.94,100
upernavik,-56.15,72.79,43.47,91,5.84,100
port elizabeth,25.57,-33.92,57.2,76,9.17,75
hoi an,108.33,15.88,78.8,83,3.36,20
bundaberg,152.35,-24.85,52.97,87,4.7,4
darhan,105.92,49.49,61.07,87,2.26,53
dajal,70.38,29.56,100.71,33,15.66,7
ribeira grande,-28.7,38.52,75.2,88,9.17,40
port hardy,-127.42,50.7,57.2,93,5.82,90
ampanihy,44.75,-24.7,62.46,44,1.1,0
hassleholm,13.77,56.16,65.79,88,5.82,100
qaqortoq,-46.03,60.72,53.6,66,10.29,75
gouyave,-61.73,12.16,84.2,74,17.22,40
eau claire,-91.5,44.81,76.23,83,5.82,90
san cristobal,-72.22,7.77,95.0,36,11.41,40
katherine,132.27,-14.47,60.8,41,6.93,0
aras,-2.36,42.56,93.2,28,2.24,3
poum,164.02,-20.23,72.55,79,16.67,0
sorland,12.69,67.67,55.4,82,12.75,5
la ronge,-105.28,55.1,68.0,64,18.34,75
bandar,99.75,2.05,73.54,93,2.37,84
longyearbyen,15.64,78.22,60.8,72,8.05,0
port hedland,118.57,-20.32,59.0,24,9.17,17
paris,2.35,48.85,76.96,41,6.93,75
feni,91.41,23.02,81.32,90,5.55,100
nikolskoye,30.79,59.7,67.33,45,6.71,20
daokou,114.51,35.56,75.0,76,8.16,75
srednekolymsk,153.68,67.45,70.16,52,10.27,43
mahebourg,57.7,-20.41,69.8,73,18.34,75
tateyama,139.87,34.98,75.97,100,5.01,100
belaya gora,146.42,68.53,65.41,73,7.45,87
hithadhoo,73.08,-0.6,82.72,72,8.37,99
zyryanka,150.85,65.75,68.99,65,9.64,73
kloulklubed,134.26,7.04,77.0,94,6.93,75
gladstone,151.25,-23.85,53.6,81,3.36,0
soe,124.28,-9.86,59.92,99,5.26,30
dzialdowo,20.17,53.24,78.8,41,4.7,0
south yuba city,-121.64,39.12,80.82,41,1.97,1
birjand,59.22,32.87,86.0,15,11.41,0
arraial do cabo,-42.03,-22.97,77.0,69,9.17,20
saint-philippe,55.77,-21.36,63.01,72,2.24,68
bandarbeyla,50.81,9.49,77.43,82,26.26,47
tygda,126.33,53.12,63.23,97,5.48,100
tashla,52.74,51.77,63.57,64,7.61,58
puerto escondido,-97.07,15.85,86.0,62,8.05,40
lakes entrance,147.98,-37.88,51.01,97,8.75,100
ruyigi,30.32,-3.45,63.46,47,3.04,0
sampit,112.95,-2.53,72.63,91,2.46,28
ulladulla,150.47,-35.35,56.66,100,27.51,90
huejuquilla el alto,-103.87,22.6,76.15,55,3.65,89
vytegra,36.45,61.01,62.15,92,4.38,31
hasaki,140.83,35.73,74.08,94,4.7,75
raudeberg,5.14,61.99,60.87,87,5.82,75
georgetown,100.34,5.41,79.25,88,5.82,40
novyy urengoy,76.63,66.08,52.14,65,10.96,49
bathsheba,-59.52,13.22,84.34,72,15.1,99
sandviken,16.77,60.62,72.0,35,5.99,73
hamada,132.08,34.88,75.0,75,4.52,89
anori,-61.64,-3.77,94.55,37,4.12,55
semey,80.23,50.41,68.34,50,7.56,39
simbahan,120.58,6.3,83.53,71,5.59,71
anaconda,-112.94,46.13,68.0,28,4.7,1
rio grande,-52.1,-32.03,62.64,42,9.17,18
saint-paul-les-dax,-1.05,43.73,82.15,54,5.82,8
mananjary,48.33,-21.22,64.13,77,2.53,5
kilrush,-9.48,52.64,59.0,82,13.87,75
jamu mare,21.42,45.25,71.6,78,4.7,40
ahuimanu,-157.84,21.44,76.21,83,20.8,90
mehamn,27.85,71.04,64.44,57,13.8,1
atar,-13.05,20.52,104.61,19,19.37,1
klaksvik,-6.59,62.23,51.8,87,17.22,100
constitucion,-72.42,-35.33,56.52,75,4.68,100
jardim,-56.14,-21.48,85.64,31,5.57,99
flin flon,-101.86,54.77,62.6,88,12.75,90
salo,10.53,45.61,83.66,37,6.93,79
zhigansk,123.37,66.77,45.46,81,12.41,76
warmbad,18.73,-28.45,63.05,29,7.43,0
monte alegre,-54.07,-2.01,90.16,48,3.65,26
byron bay,153.62,-28.65,57.31,62,14.99,27
harbour breton,-55.8,47.48,58.64,99,14.2,100
saldanha,17.94,-33.01,55.4,71,9.17,0
mayo,-76.51,38.89,91.51,49,8.05,20
miyazu,135.18,35.53,71.92,94,7.36,98
mortara,8.74,45.25,83.97,68,5.97,77
koulikoro,-7.75,14.0,87.12,58,4.7,89
machilipatnam,81.13,16.17,85.53,73,3.22,19
thompson,-97.86,55.74,57.2,93,8.05,90
kruisfontein,24.73,-34.0,55.99,86,5.86,49
muroto,134.15,33.28,79.79,84,5.37,86
lavrentiya,-171.0,65.58,57.56,67,11.14,92
villaviciosa,-5.44,43.48,73.08,66,6.4,75
hobbs,-103.14,32.7,85.37,37,10.29,5
charters towers,146.27,-20.1,56.43,39,10.29,0
camacha,-16.33,33.08,73.4,64,16.11,20
olafsvik,-23.71,64.89,49.86,73,9.48,67
bilma,12.92,18.69,95.79,15,0.87,6
san borja,-66.85,-14.82,84.52,34,1.45,86
alekseyevsk,108.35,57.84,57.42,64,4.54,99
mount isa,139.5,-20.73,53.6,40,4.7,0
bethel,-73.41,41.37,88.29,54,1.01,21
luderitz,15.16,-26.65,64.4,68,17.22,0
olinda,-34.86,-8.01,82.4,65,16.11,75
ilulissat,-51.1,69.22,44.6,93,11.41,100
pangody,74.49,65.85,51.21,71,10.11,95
yuanping,112.76,38.72,63.34,86,0.96,36
amahai,128.92,-3.33,76.73,87,6.24,89
biak,122.88,-0.91,76.14,78,9.13,89
grindavik,-22.43,63.84,55.4,66,12.75,75
wangkui,126.5,46.83,68.05,75,6.93,0
vyartsilya,30.69,62.18,59.52,71,3.18,3
xichang,102.26,27.9,61.52,74,1.57,64
sorong,131.25,-0.88,78.57,87,9.69,100
ankang,109.02,32.68,68.94,85,1.86,0
phuntsholing,89.39,26.85,78.82,79,2.68,99
novo aripuana,-60.38,-5.12,96.84,29,4.36,17
vila velha,-40.29,-20.33,76.14,83,9.17,75
laizhou,119.93,37.18,70.09,84,3.31,60
bosaso,49.18,11.28,88.43,61,7.09,86
adrar,-10.07,20.5,102.96,18,7.7,0
vestmannaeyjar,-20.27,63.44,53.6,76,9.17,75
guiberoua,-6.17,6.24,78.48,68,4.07,96
axim,-2.24,4.87,76.86,76,9.89,87
lasa,10.7,46.62,65.43,72,4.7,40
narsaq,-46.05,60.92,53.6,66,10.29,75
hamilton,-84.53,39.18,90.05,55,8.05,40
kyzyl-suu,78.0,42.34,64.35,55,2.51,82
manacapuru,-60.62,-3.3,93.2,46,11.41,40
hay river,-115.8,60.82,71.6,53,4.7,40
victoria,114.16,22.29,84.72,74,8.01,36
severodvinsk,39.83,64.56,71.6,68,2.24,75
jumla,82.18,29.27,63.99,69,1.05,76
faya,42.45,18.39,67.1,82,6.93,75
arlit,7.39,18.74,100.45,21,12.93,76
albion,-84.75,42.24,87.31,52,13.87,75
beringovskiy,179.32,63.05,61.45,70,5.59,71
porto novo,2.6,6.5,78.8,83,18.34,40
inuvik,-133.72,68.35,60.8,77,4.88,20
mocuba,36.99,-16.84,62.22,91,3.69,23
grand gaube,57.66,-20.01,70.0,73,8.99,98
kieta,155.63,-6.22,79.72,75,4.83,100
garissa,39.64,-0.45,76.98,58,23.64,23
morgan city,-91.21,29.7,78.15,94,9.17,90
chicama,-79.15,-7.84,73.06,53,10.96,27
saskylakh,114.08,71.92,36.55,95,18.25,100
ilhabela,-45.36,-23.78,68.85,87,6.73,99
nalut,10.85,30.33,93.61,14,11.54,0
nantucket,-70.1,41.28,81.3,74,19.46,20
paita,-81.11,-5.09,70.52,64,15.46,33
naze,129.48,28.37,82.4,88,8.05,90
vao,167.48,-22.67,70.61,81,18.37,24
udalguri,92.13,26.77,80.37,86,2.51,100
iquitos,-73.25,-3.75,80.6,74,8.05,75
taveta,37.67,-3.4,69.67,65,10.13,22
sterling,-77.43,39.01,90.63,36,10.29,20
bara,10.73,10.37,80.85,72,11.36,50
teya,92.63,60.38,50.97,87,2.26,33
nacozari,-108.26,25.34,93.99,59,3.0,43
sao jose da coroa grande,-35.15,-8.9,79.03,70,13.8,15
atlantis,18.48,-33.57,56.46,76,11.65,0
meulaboh,96.13,4.14,76.51,89,3.85,94
luza,47.25,60.63,60.93,89,3.58,18
baglan,68.71,36.13,86.7,20,1.14,32
lixourion,20.43,38.2,77.0,73,16.11,20
huarmey,-78.15,-10.07,67.89,62,10.22,52
ubinskoye,79.68,55.31,54.84,89,4.25,32
ormara,64.64,25.21,85.21,83,14.99,91
port blair,92.75,11.67,83.08,75,2.66,84
nara,135.8,34.69,72.66,95,3.56,97
villepinte,2.53,48.96,76.42,36,10.29,51
siret,26.07,47.95,74.41,10,4.9,95
nevelsk,141.86,46.67,53.6,93,2.24,40
anloga,0.9,5.79,78.8,78,12.75,40
wewak,143.63,-3.55,78.1,86,7.87,100
yulara,130.99,-25.24,46.4,61,8.05,6
norman wells,-126.83,65.28,66.2,59,9.17,75
panzhihua,101.71,26.59,67.23,83,0.78,96
cabatuan,122.49,10.88,76.68,86,3.09,94
bamberg,10.89,49.88,70.99,64,5.21,78
muisne,-80.03,0.6,80.6,78,4.7,40
hoganas,12.56,56.2,64.87,88,9.17,40
yaan,8.57,7.38,77.23,90,5.93,44
zapolyarnyy,30.81,69.42,69.8,49,13.87,49
clyde river,-68.59,70.47,46.4,81,5.82,40
mackay,149.2,-21.15,53.37,93,5.82,0
panjab,67.02,34.39,63.9,37,5.79,35
palmas,-48.36,-10.21,89.6,29,9.17,7
lincoln,-96.67,40.8,82.87,69,8.05,90
doka,35.77,13.52,71.01,86,14.56,99
toamasina,49.38,-18.17,68.0,88,11.41,75
yarqa,35.69,31.98,95.9,22,5.28,4
melfort,-104.62,52.87,69.8,60,17.22,75
tavda,65.27,58.04,56.32,76,3.24,69
wanaka,169.15,-44.7,33.01,81,1.99,0
chirongui,45.15,-12.93,77.0,73,11.41,87
samana,-69.34,19.21,87.8,74,6.93,75
paso de carrasco,-56.05,-34.86,59.79,47,14.99,99
belle glade,-80.67,26.68,90.66,65,3.0,2
zhezkazgan,67.71,47.8,77.36,28,10.94,73
kuusamo,29.18,65.97,60.8,72,8.05,47
itaituba,-55.98,-4.28,98.35,25,4.47,11
vinh,105.67,18.67,81.57,74,2.91,98
gambela,34.58,8.25,70.43,91,3.15,85
katsuura,140.3,35.13,75.79,94,1.99,100
mingaora,72.36,34.78,78.76,60,5.14,32
alegrete,-55.79,-29.78,60.39,50,6.49,27
vesoul,5.83,47.58,74.19,60,2.24,68
mandla,80.38,22.6,79.03,78,3.76,13
saint charles,-90.48,38.78,90.05,52,9.17,40
killybegs,-8.45,54.63,58.51,58,16.11,20
marawi,124.29,8.0,78.01,88,1.01,77
cobija,-68.77,-11.03,83.8,42,3.44,94
shimoda,138.95,34.67,71.01,91,1.01,99
teguise,-13.56,29.06,82.4,54,21.92,20
yenagoa,6.26,4.92,75.04,92,4.72,97
oktyabrskiy,53.47,54.48,57.54,87,4.54,100
hofn,-15.21,64.25,55.4,54,14.99,75
imeni poliny osipenko,136.49,52.42,57.07,84,3.76,89
kiunga,141.29,-6.12,72.46,98,2.33,98
havelock,-76.9,34.88,88.7,54,5.01,2
biharamulo,31.31,-2.63,69.08,39,4.32,0
saint-donat-de-montcalm,-74.22,46.32,81.0,7,1.01,73
vallenar,-70.76,-28.57,81.36,13,4.54,0
sovetskiy,63.58,61.36,58.71,81,5.88,22
husavik,-17.34,66.04,48.2,76,12.75,75
freeport,-73.58,40.66,91.2,49,12.75,40
arroyo,-4.8,41.61,92.79,16,6.93,0
broome,-75.83,42.25,82.35,42,9.17,1
moussoro,16.49,13.64,93.31,41,13.44,47
atasu,71.64,48.68,69.8,42,9.19,36
fortuna,-124.16,40.6,63.72,77,6.93,20
hualmay,-77.61,-11.1,66.47,65,9.71,47
maharajganj,83.57,27.13,82.4,100,1.12,40
saint-ambroise,-71.33,48.55,74.03,73,12.75,90
mpongwe,28.16,-13.51,54.1,66,6.11,9
chara,118.26,56.91,62.47,78,0.81,100
shaki,47.17,41.08,83.79,42,3.36,0
boa vista,-60.67,2.82,89.6,52,6.93,75
roma,-75.46,43.21,83.37,51,12.75,20
nemuro,145.57,43.32,56.77,89,3.11,95
naryan-mar,53.09,67.67,62.82,78,10.09,9
dongsheng,109.98,39.82,67.57,58,5.14,3
ewa beach,-158.01,21.32,76.73,74,4.7,75
lata,-8.33,40.16,80.51,57,7.0,0
fairbanks,-147.72,64.84,56.57,93,2.59,90
avera,-82.53,33.19,88.21,58,3.36,40
christchurch,172.63,-43.53,32.59,92,4.81,0
chivilcoy,-60.02,-34.9,62.01,38,27.0,47
dwarka,68.97,22.24,83.88,80,7.83,43
mwene-ditu,23.45,-7.0,73.29,26,4.92,0
jos,8.9,9.92,69.22,88,0.76,44
grootfontein,18.12,-19.57,56.07,39,7.76,0
zaragoza,-0.88,41.66,95.0,28,2.24,0
nishihara,127.76,26.18,80.46,88,16.11,75
novaya bryan,108.27,51.72,62.6,88,2.24,90
oranjestad,-70.03,12.52,80.6,88,17.22,20
isla vista,-119.86,34.41,64.54,82,3.36,75
pudozh,36.53,61.81,60.49,87,1.01,10
maniitsoq,-52.9,65.42,48.78,83,1.3,52
kenai,-151.26,60.55,55.99,87,4.21,40
kathu,98.33,7.92,81.1,94,4.7,20
trat,102.5,12.5,77.59,86,0.6,84
wawa,4.42,9.9,79.41,80,3.58,64
babai,77.93,22.7,82.18,74,4.68,9
muros,-9.06,42.78,75.99,68,5.01,6
port shepstone,30.45,-30.74,66.52,66,22.62,18
rennes,-1.67,48.17,73.2,49,9.17,82
ludvika,15.19,60.15,67.15,52,12.75,61
solnechnyy,136.63,50.72,61.07,95,1.54,97
hukuntsi,21.75,-24.0,56.08,38,9.15,0
berlevag,29.09,70.86,66.2,45,24.16,40
puerto leguizamo,-74.78,-0.19,85.55,57,3.09,56
yumen,97.2,40.28,74.21,21,5.57,59
saint george,-113.58,37.1,91.11,19,1.61,1
pasni,63.47,25.26,84.69,80,12.33,96
la palma,-118.05,33.85,72.21,60,3.36,20
omboue,9.26,-1.57,74.3,80,6.53,98
port moresby,147.18,-9.44,74.59,92,5.95,85
saint-louis,-15.0,16.33,96.8,34,4.7,28
tuktoyaktuk,-133.04,69.45,59.0,77,12.75,20
cabedelo,-34.83,-6.98,80.6,74,17.22,75
itoman,127.67,26.12,80.42,88,16.11,75
greece,-77.69,43.21,85.77,54,14.99,75
pathein,94.73,16.78,81.36,86,5.3,100
dingle,122.67,11.0,77.07,88,2.33,100
eureka,-124.16,40.8,60.53,77,3.36,90
westport,-73.36,41.14,90.66,49,11.41,20
luwuk,122.79,-0.95,76.73,75,7.38,84
aginskoye,114.53,51.1,63.9,91,2.82,95
ust-tsilma,52.15,65.44,69.76,57,3.2,89
shelburne,-80.2,44.08,87.51,49,13.87,20
comodoro rivadavia,-67.5,-45.87,37.4,82,1.12,75
aksu,80.26,41.12,85.8,25,15.23,54
tual,132.75,-5.67,79.38,83,23.67,74
dobson,-80.72,36.4,88.59,58,5.86,40
praia da vitoria,-27.07,38.73,80.6,69,11.45,40
sao joao da barra,-41.05,-21.64,78.8,65,16.11,75
uray,64.78,60.12,61.59,67,3.87,70
frunze,38.75,48.67,77.23,39,10.96,33
keetmanshoop,18.13,-26.58,68.0,20,4.7,0
vaitape,-151.75,-16.52,78.75,82,16.2,43
labuhan,112.21,-6.88,73.78,83,6.33,74
grants,-107.85,35.15,75.2,57,8.05,40
la libertad,-80.9,-2.23,71.6,79,11.27,93
chastyye,54.97,57.29,59.61,85,5.28,92
kannod,76.73,22.67,81.39,78,2.8,14
orillia,-79.42,44.61,86.5,63,1.99,27
namibe,12.15,-15.2,68.95,78,8.43,0
inirida,-67.92,3.87,80.91,89,3.0,86
hegang,130.37,47.4,63.95,96,2.55,0
nizwa,57.53,22.93,85.89,51,0.67,100
hami,93.45,42.8,85.39,20,17.25,0
datong,113.29,40.09,63.84,80,5.66,96
kumluca,30.29,36.37,82.44,59,1.3,2
beloha,45.05,-25.17,63.1,58,8.41,0
vuktyl,57.31,63.86,63.95,60,1.43,33
tagusao,117.81,9.19,79.75,80,3.71,7
ginir,40.7,7.13,61.29,83,7.87,70
plymouth,-70.83,41.83,91.04,38,12.75,1
puerto madryn,-65.04,-42.77,45.95,70,8.28,100
homer,-151.55,59.64,52.84,87,6.93,1
santa maria,-53.81,-29.68,61.61,52,3.96,0
saint-joseph,55.62,-21.37,60.85,72,2.24,62
zaraysk,38.88,54.77,71.01,43,6.42,26
punta de bombon,-71.79,-17.17,63.82,66,7.65,0
kudahuvadhoo,72.89,2.67,83.12,68,4.92,98
yar-sale,70.83,66.83,52.83,68,6.2,84
acapulco,-99.89,16.86,86.0,66,4.7,90
carthage,10.33,36.86,89.6,25,5.82,0
te anau,167.72,-45.42,35.89,86,0.78,29
cherskiy,161.3,68.75,70.32,45,11.12,86
lahat,103.53,-3.8,71.24,87,2.28,69
sabang,95.32,5.89,81.64,80,12.82,100
whitley bay,-1.45,55.04,64.54,55,14.99,40
conde,-34.91,-7.26,80.6,74,17.22,75
mount gambier,140.77,-37.83,44.6,100,5.82,75
cuamba,36.54,-14.8,65.26,59,5.39,67
ejea de los caballeros,-1.14,42.13,95.0,23,5.82,0
valreas,4.99,44.38,90.12,26,6.93,44
severo-kurilsk,156.12,50.68,50.54,91,16.04,97
asyut,31.18,27.18,91.87,11,9.53,0
boissevain,-100.06,49.23,71.65,56,17.22,1
mindyak,58.79,54.02,59.0,100,4.47,40
benemerito de las americas,-90.64,16.52,92.26,50,3.51,91
perth,115.83,-31.93,60.49,93,9.44,47
nombre de dios,-104.23,23.85,72.79,60,9.01,75
karratha,116.85,-20.74,67.62,30,9.55,38
buluang,123.34,13.31,77.92,88,2.33,77
caucaia,-38.65,-3.74,84.31,45,11.41,72
saint austell,-4.77,50.34,62.2,82,16.11,40
leningradskiy,178.42,69.38,68.27,48,17.85,78
myitkyina,97.4,25.38,76.46,95,0.87,100
araci,-38.97,-11.33,83.82,41,14.85,54
iralaya,-83.23,15.0,86.0,74,14.54,75
huicungo,-76.8,-7.28,79.03,72,0.6,90
komsomolskiy,71.72,40.43,78.8,47,11.41,90
kunjah,73.97,32.53,89.6,66,5.7,20
maarianhamina,19.93,60.1,64.4,72,12.75,72
kirakira,161.92,-10.45,79.72,84,11.79,100
tripoli,13.19,32.88,81.79,67,9.01,0
half moon bay,-122.43,37.46,66.92,82,3.36,5
nizhniy kuranakh,125.49,58.84,58.95,81,2.04,48
puerto colombia,-74.95,10.99,87.8,66,3.36,40
coquimbo,-71.34,-29.95,60.8,59,10.29,15
borovoy,86.08,55.43,57.2,100,8.95,77
kabare,28.82,-2.47,63.18,64,0.81,23
ambon,128.18,-3.7,79.0,14,1.99,97
caravelas,-39.25,-17.71,77.0,68,7.94,37
alofi,-169.92,-19.06,71.6,94,11.41,46
candido mota,-50.39,-22.75,80.15,45,6.62,93
jiuquan,98.52,39.74,78.6,19,14.79,47
coxim,-54.76,-18.51,93.67,17,7.02,0
wilmington,-77.94,34.23,91.06,49,5.82,20
acajutla,-89.83,13.59,82.47,70,5.82,20
kolosovka,73.61,56.47,54.64,74,4.32,14
kolarovo,17.98,47.92,74.44,57,10.29,100
bohodukhiv,35.53,50.16,77.86,34,11.18,99
buraydah,43.98,26.33,104.0,26,9.17,60
bubaque,-15.83,11.28,80.87,82,14.45,100
pontianak,109.33,-0.03,75.61,95,3.87,88
sibu,111.82,2.3,75.07,94,0.94,40
bac lieu,105.72,9.29,81.93,76,4.34,97
triunfo,-51.72,-29.94,63.93,48,3.36,35
dicabisagan,122.42,17.08,79.34,80,3.33,70
pechora,57.22,65.15,62.04,67,4.43,3
hirara,125.28,24.8,84.7,76,16.84,100
birin,88.07,26.89,82.4,88,2.24,75
asau,26.4,46.43,66.99,79,2.77,96
simpang,104.08,-1.27,74.48,89,3.2,68
rupert,-113.68,42.62,75.2,29,4.7,1
walvis bay,14.51,-22.96,69.1,40,8.05,0
